transacao,pao,leite,cafe,manteiga,acucar,arroz,feijao,macarrao,cerveja,refrigerante
1,1,1,1,1,0,0,0,0,0,0
2,1,1,0,1,0,0,0,0,0,0
3,1,1,1,0,1,0,0,0,0,0
4,1,1,0,0,0,0,0,0,0,0
5,1,1,1,1,1,0,0,0,0,0
6,0,0,0,0,0,1,1,0,0,0
7,0,0,0,0,0,1,1,1,0,0
8,0,0,0,0,0,1,1,0,0,0
9,0,0,0,0,0,1,1,1,0,0
10,0,0,0,0,0,1,1,0,0,0
11,1,0,1,0,1,0,0,0,0,0
12,1,0,1,0,1,0,0,0,0,0
13,1,0,1,0,0,0,0,0,0,0
14,0,1,1,0,1,0,0,0,0,0
15,0,1,1,0,1,0,0,0,0,0
16,0,0,0,0,0,0,0,0,1,1
17,0,0,0,0,0,0,0,0,1,1
18,0,0,0,0,0,0,0,0,1,1
19,0,0,0,0,0,0,0,0,1,1
20,0,0,0,0,0,0,0,0,1,0
21,1,1,0,1,0,0,0,0,0,0
22,1,1,1,0,1,0,0,0,0,0
23,1,1,0,0,0,0,0,0,0,0
24,1,1,1,1,0,0,0,0,0,0
25,1,1,1,1,1,0,0,0,0,0
26,0,0,0,0,0,1,1,0,0,0
27,0,0,0,0,0,1,1,1,0,0
28,0,0,0,0,0,1,1,0,0,0
29,0,0,0,0,0,1,1,1,0,0
30,0,0,0,0,0,1,1,0,0,0
31,1,0,1,0,1,0,0,0,0,0
32,1,0,1,0,1,0,0,0,0,0
33,1,0,1,0,0,0,0,0,0,0
34,0,1,1,0,1,0,0,0,0,0
35,0,1,1,0,1,0,0,0,0,0
36,0,0,0,0,0,0,0,0,1,1
37,0,0,0,0,0,0,0,0,1,1
38,0,0,0,0,0,0,0,0,1,1
39,0,0,0,0,0,0,0,0,1,1
40,0,0,0,0,0,0,0,0,1,0
41,1,1,1,1,0,0,0,0,0,0
42,1,1,0,1,0,0,0,0,0,0
43,1,1,1,0,1,0,0,0,0,0
44,1,1,0,0,0,0,0,0,0,0
45,1,1,1,1,1,0,0,0,0,0
46,0,0,0,0,0,1,1,0,0,0
47,0,0,0,0,0,1,1,1,0,0
48,0,0,0,0,0,1,1,0,0,0
49,0,0,0,0,0,1,1,1,0,0
50,0,0,0,0,0,1,1,0,0,0
51,1,0,1,0,1,0,0,0,0,0
52,1,0,1,0,1,0,0,0,0,0
53,1,0,1,0,0,0,0,0,0,0
54,0,1,1,0,1,0,0,0,0,0
55,0,1,1,0,1,0,0,0,0,0
56,0,0,0,0,0,0,0,0,1,1
57,0,0,0,0,0,0,0,0,1,1
58,0,0,0,0,0,0,0,0,1,1
59,0,0,0,0,0,0,0,0,1,1
60,0,0,0,0,0,0,0,0,1,0
61,1,1,0,1,0,0,0,0,0,0
62,1,1,1,0,1,0,0,0,0,0
63,1,1,0,0,0,0,0,0,0,0
64,1,1,1,1,0,0,0,0,0,0
65,1,1,1,1,1,0,0,0,0,0
66,0,0,0,0,0,1,1,0,0,0
67,0,0,0,0,0,1,1,1,0,0
68,0,0,0,0,0,1,1,0,0,0
69,0,0,0,0,0,1,1,1,0,0
70,0,0,0,0,0,1,1,0,0,0
71,1,0,1,0,1,0,0,0,0,0
72,1,0,1,0,1,0,0,0,0,0
73,1,0,1,0,0,0,0,0,0,0
74,0,1,1,0,1,0,0,0,0,0
75,0,1,1,0,1,0,0,0,0,0
76,0,0,0,0,0,0,0,0,1,1
77,0,0,0,0,0,0,0,0,1,1
78,0,0,0,0,0,0,0,0,1,1
79,0,0,0,0,0,0,0,0,1,1
80,0,0,0,0,0,0,0,0,1,0
81,1,1,1,1,0,0,0,0,0,0
82,1,1,0,1,0,0,0,0,0,0
83,1,1,1,0,1,0,0,0,0,0
84,1,1,0,0,0,0,0,0,0,0
85,1,1,1,1,1,0,0,0,0,0
86,0,0,0,0,0,1,1,0,0,0
87,0,0,0,0,0,1,1,1,0,0
88,0,0,0,0,0,1,1,0,0,0
89,0,0,0,0,0,1,1,1,0,0
90,0,0,0,0,0,1,1,0,0,0
91,1,0,1,0,1,0,0,0,0,0
92,1,0,1,0,1,0,0,0,0,0
93,1,0,1,0,0,0,0,0,0,0
94,0,1,1,0,1,0,0,0,0,0
95,0,1,1,0,1,0,0,0,0,0
96,0,0,0,0,0,0,0,0,1,1
97,0,0,0,0,0,0,0,0,1,1
98,0,0,0,0,0,0,0,0,1,1
99,0,0,0,0,0,0,0,0,1,1
100,0,0,0,0,0,0,0,0,1,0
