valor,frequencia,tempo_entre_compras,categoria
169.87,13,9.1,vestuario
144.47,18,8.1,eletronicos
175.91,9,9.7,alimentacao
210.92,5,12.1,eletronicos
140.63,7,6.4,alimentacao
140.63,14,6.6,eletronicos
213.17,16,4.1,vestuario
180.7,12,9.4,vestuario
131.22,19,9.6,alimentacao
171.7,15,5.3,alimentacao
131.46,10,8.2,alimentacao
131.37,12,9.4,eletronicos
159.68,13,7.5,eletronicos
73.47,8,8.7,alimentacao
81.0,5,7.3,vestuario
127.51,18,4.6,eletronicos
109.49,5,9.1,eletronicos
162.57,14,9.7,eletronicos
113.68,8,8.5,alimentacao
93.51,16,5.1,alimentacao
208.63,18,5.5,alimentacao
140.97,11,4.7,alimentacao
152.7,6,8.5,alimentacao
93.01,7,9.5,vestuario
128.22,5,7.8,vestuario
154.44,9,8.9,alimentacao
103.96,5,5.3,eletronicos
165.03,12,7.3,alimentacao
125.97,5,4.3,vestuario
138.33,15,5.5,vestuario
125.93,5,8.8,eletronicos
224.09,6,6.5,vestuario
149.46,6,9.4,alimentacao
107.69,16,8.1,eletronicos
182.9,10,12.5,alimentacao
101.17,11,7.2,alimentacao
158.35,9,4.2,eletronicos
71.61,5,6.9,alimentacao
96.87,5,5.1,vestuario
157.87,7,9.0,alimentacao
179.54,18,7.1,eletronicos
156.85,6,6.7,eletronicos
145.37,9,6.8,eletronicos
137.96,16,8.5,alimentacao
90.86,14,6.1,eletronicos
121.21,10,8.6,eletronicos
131.57,11,9.1,alimentacao
192.28,8,6.3,vestuario
163.74,11,5.1,alimentacao
79.48,15,6.0,eletronicos
162.96,12,8.4,eletronicos
134.6,15,7.2,alimentacao
122.92,5,8.3,vestuario
174.47,19,10.5,eletronicos
191.24,10,7.5,eletronicos
187.25,12,5.4,eletronicos
116.43,9,9.1,alimentacao
137.63,8,7.1,eletronicos
163.25,6,8.7,vestuario
189.02,10,9.1,eletronicos
130.83,10,5.1,eletronicos
142.57,15,9.8,vestuario
105.75,19,8.8,eletronicos
102.15,5,5.8,alimentacao
182.5,13,7.6,alimentacao
204.25,16,7.5,alimentacao
147.12,15,7.0,vestuario
190.14,10,8.7,eletronicos
164.47,17,9.9,alimentacao
124.2,7,7.0,vestuario
164.46,8,9.7,eletronicos
211.52,16,9.0,vestuario
148.57,15,7.5,alimentacao
212.59,8,7.4,alimentacao
45.21,7,4.7,alimentacao
182.88,14,4.0,vestuario
153.48,7,7.3,vestuario
138.04,19,5.3,alimentacao
153.67,7,6.9,vestuario
70.5,8,5.9,alimentacao
141.21,11,3.4,alimentacao
164.28,8,7.7,eletronicos
209.12,13,6.2,vestuario
129.27,5,7.2,alimentacao
117.66,12,5.2,alimentacao
129.93,11,6.3,vestuario
186.62,6,10.1,eletronicos
163.15,12,7.3,eletronicos
128.81,5,8.1,alimentacao
170.53,15,4.5,vestuario
911.65,2,41.9,eletronicos
1016.24,1,39.2,vestuario
815.75,1,36.8,vestuario
860.68,2,34.1,alimentacao
852.95,1,30.1,eletronicos
724.38,1,32.2,alimentacao
935.53,2,35.2,eletronicos
931.33,2,26.9,eletronicos
900.61,1,27.8,eletronicos
871.85,1,21.7,eletronicos
